Date,Ticker,Open,High,Low,Close,Volume
2015-06-12,AAPL,28.7103120813085,28.741667304738165,28.468427464509798,28.48186492919922,147544800
2015-06-12,AMZN,21.5625,21.618000030517578,21.413000106811523,21.496000289916992,41088000
2015-06-12,AVGO,10.768043201339003,10.782523589200784,10.66058393993377,10.705549240112305,19145000
2015-06-12,BRK-B,141.1199951171875,141.14999389648438,139.77999877929688,140.2899932861328,2768400
2015-06-12,GOOGL,27.194404625248865,27.278896976139073,27.118857497217917,27.210309982299805,25468000
2015-06-12,META,80.98829936302707,81.7049154935926,80.81909105499398,81.14754486083984,11417900
2015-06-12,MSFT,40.07694117510049,40.293713893169716,39.799472360587,39.86016845703125,23931000
2015-06-12,NVDA,0.5218140458658984,0.5249604229002259,0.5097126179277772,0.5109227895736694,323728000
2015-06-12,TSM,17.740043676611183,17.905837953414242,17.634536921007278,17.8380126953125,12115900
2015-06-15,AAPL,28.24222194516292,28.49754404008276,28.154875002623584,28.425874710083008,175955600
2015-06-15,AMZN,21.382999420166016,21.40250015258789,21.131999969482422,21.183500289916992,41020000
2015-06-15,AVGO,10.605711803017805,10.976103901892934,10.59427968789558,10.907512664794922,34565000
2015-06-15,BRK-B,139.72000122070312,139.9600067138672,138.77999877929688,139.39999389648438,2859500
2015-06-15,GOOGL,26.97472228288346,27.04032880170905,26.799772830000393,26.988142013549805,27150000
2015-06-15,META,80.17214488576337,80.55035958102094,79.69439321326492,80.33139038085938,18805100
2015-06-15,MSFT,39.409264374632066,39.582683138317456,39.036415190399204,39.43527603149414,33254500
2015-06-15,NVDA,0.5082604390746783,0.5123749765400913,0.5043880282670248,0.5099546909332275,306548000
2015-06-15,TSM,17.62699885507508,17.664680348801117,17.506420949955785,17.529029846191406,12984800
2015-06-16,AAPL,28.45050783666142,28.634160579854694,28.302690608594347,28.578168869018555,125976400
2015-06-16,AMZN,21.207500457763672,21.398500442504883,21.133499145507812,21.363000869750977,45928000
2015-06-16,AVGO,10.875503862906022,10.935711259561783,10.774902846532736,10.821393013000488,20998000
